Global Land and Ocean Temperature Anomalies, February-January
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
2005,0.58
2006,0.65
2007,0.67
2008,0.56
2009,0.57
2010,0.65
2011,0.70
2012,0.57
2013,0.65
2014,0.68
